tim_day,seller_nickname,titulo,seller_reputation,stock,logistic_type,condition,is_refurbished,price,regular_price,categoria,url,category_id,category_name
2024-08-01,46dcf3b244,Xtreme Pc Gaming Msi Geforce Rtx 4080 Super Intel Core I7 14700kf 64gb Ddr5 Ssd 2tb Sistema Liquido Wifi White,green_platinum,2,XD,new,False,46832.33,69899.0,COMPUTERS & NOTEBOOKS,https://articulo.mercadolibre.com.mx/MLM-2092160785-xtreme-pc-gaming-msi-geforce-rtx-4080-super-intel-core-i7-14700kf-64gb-ddr5-ssd-2tb-sistema-liquido-wifi-white-_JM,COMPUTERS & NOTEBOOKS,COMPUTADORAS Y PORTÁTILES
2024-08-01,ff43b17940,iPad  Apple  Pro 6th Generation 2022 A2436 12.9  1tb Gris Espacial Y 16gb De Memoria Ram - Distribuidor Autorizado,green_platinum,10,FBM,new,False,40199.0,,SMARTPHONES & TABLETS,https://articulo.mercadolibre.com.mx/MLM-2054679203-ipad-apple-pro-6th-generation-2022-a2436-129-1tb-gris-espacial-y-16gb-de-memoria-ram-distribuidor-autorizado-_JM,SMARTPHONES & TABLETS,TELÉFONOS INTELIGENTES Y TABLETAS
2024-08-01,ff43b17940,"Apple iPad pro 11  (wi-fi + Cellular, 512 gb) - Negro (m4)",green_platinum,15,FBM,new,False,31356.35,,SMARTPHONES & TABLETS,https://articulo.mercadolibre.com.mx/MLM-3059438150-apple-ipadpro-11-wi-fi-cellular-512gb-negro-m4-_JM,SMARTPHONES & TABLETS,TELÉFONOS INTELIGENTES Y TABLETAS
2024-08-01,f986b20556,Alienware Dt R16 Negro I7-13700f 32gb Ram 512gb Ssd,green_platinum,3,XD,new,False,32189.13,36999.0,COMPUTERS & NOTEBOOKS,https://articulo.mercadolibre.com.mx/MLM-3231759076-alienware-dt-r16-negro-i7-13700f-32gb-ram-512gb-ssd-_JM,COMPUTERS & NOTEBOOKS,COMPUTADORAS Y PORTÁTILES
2024-08-01,213a4f6b2c,Notebook Gaming Zero 16  Naranja/negro 32gb De Ram - 1gb Ssd - Intel Core I9,green_platinum,1,FBM,new,False,30515.47,44875.7,COMPUTERS & NOTEBOOKS,https://articulo.mercadolibre.com.mx/MLM-1620099538-notebook-gaming-zero-16-naranjanegro-32gb-de-ram-1gb-ssd-intel-core-i9-_JM,COMPUTERS & NOTEBOOKS,COMPUTADORAS Y PORTÁTILES
2024-08-01,ff43b17940,Alienware Dt R16 Negro I7-13700f 32gb Ram 512gb Ssd,green_platinum,4,FBM,new,False,35999.0,39999.0,COMPUTERS & NOTEBOOKS,https://articulo.mercadolibre.com.mx/MLM-2073261207-alienware-dt-r16-negro-i7-13700f-32gb-ram-512gb-ssd-_JM,COMPUTERS & NOTEBOOKS,COMPUTADORAS Y PORTÁTILES
2024-08-01,f7dbed583f,Samsung Galaxy Book4 Edge 16 Copilot+ Pc 16gb Ram 1tb Ssd ,green,4,DS,new,False,47999.0,,COMPUTERS & NOTEBOOKS,https://articulo.mercadolibre.com.mx/MLM-3147481010-samsung-galaxy-book4-edge-16-copilot-pc-16gb-ram-1tb-ssd-_JM,COMPUTERS & NOTEBOOKS,COMPUTADORAS Y PORTÁTILES
2024-08-01,cb09205f31,Dji Flycart 30 Solución Aérea Para Transporte Inteligente,newbie,1,DS,new,False,651900.0,,CAMERAS & DRONES,https://articulo.mercadolibre.com.mx/MLM-3194467120-dji-flycart-30-solucion-aerea-para-transporte-inteligente-_JM,CAMERAS & DRONES,CÁMARAS Y DRONES
2024-08-01,ff43b17940,"Apple iPad pro 13  (wi-fi, 1 tb) - Negro (m4)",green_platinum,2,FBM,new,False,42499.0,,SMARTPHONES & TABLETS,https://articulo.mercadolibre.com.mx/MLM-2062558801-apple-ipadpro-13-wi-fi-1tb-negro-m4-_JM,SMARTPHONES & TABLETS,TELÉFONOS INTELIGENTES Y TABLETAS
2024-08-01,98bae3dfbf,Kit Apple 2 iPhone 15 Pro Max (256 Gb) Usados,green,1,XD,used,False,53999.0,,SMARTPHONES & TABLETS,https://articulo.mercadolibre.com.mx/MLM-2878940024-kit-apple-2-iphone-15-pro-max-256-gb-usados-_JM,SMARTPHONES & TABLETS,TELÉFONOS INTELIGENTES Y TABLETAS
